Highscore 	 	Time Completed
140			22/11/2013 22:21:05
90			23/11/2013 21:29:07
200			24/11/2013 19:05:39
130			24/11/2013 19:18:31
160			24/11/2013 19:28:30
100			24/11/2013 19:32:50
80			24/11/2013 19:33:12
80			24/03/2014 11:18:30
110			24/03/2014 11:21:20
100			24/03/2014 11:29:48
110			24/03/2014 11:37:09
90			24/03/2014 11:39:41
90			24/03/2014 11:41:22
100			24/03/2014 11:45:18
100			24/03/2014 11:46:23
130			24/03/2014 11:49:01
110			24/03/2014 11:53:00
130			24/03/2014 11:57:26
110			24/03/2014 12:00:14
90			24/03/2014 12:30:03
200			24/03/2014 12:32:10
200			24/03/2014 12:33:19
140			24/03/2014 13:18:21
150			24/03/2014 19:28:46
130			24/03/2014 19:30:21
170			24/03/2014 20:07:26
100			24/03/2014 20:09:29
100			24/03/2014 20:12:35
110			24/03/2014 20:17:57
110			24/03/2014 20:20:18
100			24/03/2014 20:29:19
160			24/03/2014 20:30:30
180			24/03/2014 20:32:03
170			25/03/2014 08:56:59
130			25/03/2014 09:12:21
160			25/03/2014 09:42:23
160			25/03/2014 09:44:43
140			25/03/2014 09:45:56
110			25/03/2014 11:03:43
110			25/03/2014 11:15:25
190			25/03/2014 11:24:42
140			25/03/2014 11:54:35
150			25/03/2014 11:56:11
